"group","cell_state_short","cell_state","donors","mean_cells","mean_MMP13_CPM","mean_log2_MMP13_CPM","NFkB_module_score_mean_mean","NFkB_module_score_mean_sd","Inflammatory_module_score_mean_mean","Inflammatory_module_score_mean_sd","p38_MAPK_module_score_mean_mean","p38_MAPK_module_score_mean_sd","ECM_degradation_module_score_mean_mean","ECM_degradation_module_score_mean_sd"
"Normal","RegC","Regulatory chondrocytes",6,1481.83333333333,0.113271218417719,0.124690191916144,0.20511208427467,0.0352963954933221,0.00322901986980438,0.00778275086467359,0.195357762888555,0.0144661379521011,0.071037640373814,0.0299921355429833
"Normal","EC","Effector chondrocytes",6,1023.16666666667,0.0204399561571116,0.0278158384887738,0.192439235102085,0.0373202783563524,-0.012919138646161,0.00796738981669991,0.170255523289723,0.0150510512663609,0.0595388927656843,0.0220330004114981
"Normal","RepC","Reparative chondrocytes",6,837.833333333333,0.347475111000572,0.343420113190526,0.251721204666326,0.0303538468524901,0.0206267646311619,0.00628727610493947,0.181450031463634,0.0216212563461092,0.0771172270510671,0.0308465773254259
"Normal","PreFC","Pre-fibrocartilage chondrocytes",6,421.166666666667,0,0,0.17078411136936,0.033317356708399,-0.00427662658869379,0.00739631046333994,0.193386818128333,0.0194881268930186,0.0484458306042787,0.0203450640425298
"Normal","FC","Fibrocartilage chondrocytes",6,773.5,0.181568167952976,0.177182488613554,0.183708741157134,0.0409990854963767,0.00169038520573288,0.00748697954125161,0.209756458691697,0.011698240687211,0.0599312650802481,0.0358454294799087
"Normal","MTC-like","Metallothionein/stress chondrocytes",6,988.833333333333,0,0,0.209450034060972,0.0484949039480267,0.00246912505192277,0.013553330072813,0.18621191186392,0.0230229086974397,0.0354132787642804,0.0190569627541273
"Normal","HomC","Homeostatic chondrocytes",6,408,0,0,0.135634183844502,0.0549220774020214,-0.0090844737363161,0.0127116215265066,0.123009019840117,0.0291301242796037,0.122718480422402,0.0300277394999423
"Normal","HTC","Hypertrophic chondrocytes",6,202.333333333333,0,0,0.189374086375982,0.0246211093104628,-0.0101361711496994,0.012463801633134,0.168236501357585,0.0129922081042677,0.0691717573526355,0.0305301449869824
"OA","RegC","Regulatory chondrocytes",6,1109.5,0.193113837958423,0.230044733653933,0.197390698449568,0.0744374539863574,0.00531673189605619,0.0207231454408643,0.179965115610948,0.0163228181682304,0.147555185637886,0.0329183634566845
"OA","EC","Effector chondrocytes",6,916.833333333333,0.0169246679980964,0.0232553953946109,0.185472213017232,0.0745438522365298,-0.0107539295668089,0.0168039770874548,0.166599629897475,0.00742536398349775,0.136514177388893,0.0373020137272032
"OA","RepC","Reparative chondrocytes",6,993.333333333333,0.339542090988027,0.320783209640848,0.263553326803973,0.0612808460820445,0.01623176298832,0.0196979173919601,0.179365128305794,0.0143704718795954,0.156920175585484,0.0384580055888769
"OA","PreFC","Pre-fibrocartilage chondrocytes",6,869.666666666667,0.0576147825188889,0.0784588676082117,0.0729050629286511,0.0643420861166848,-0.00478280943682998,0.0179752244888675,0.155800832460505,0.0125184335103017,0.146426926645616,0.0341384547785854
"OA","FC","Fibrocartilage chondrocytes",6,509.666666666667,7.38911662805585,2.00783870445182,0.109345448008798,0.0676488526322876,-0.0044225424698091,0.0148797768699209,0.167664559505023,0.0122613430270415,0.152727144875508,0.0343737951868837
"OA","MTC-like","Metallothionein/stress chondrocytes",3,84.6666666666667,0,0,0.178912797804081,0.0478179007254299,-0.0107949809606561,0.0132871070339573,0.15065171135064,0.0232353592039903,0.101141402178164,0.0331616239231068
"OA","HomC","Homeostatic chondrocytes",6,335.5,0,0,0.0770354102955659,0.0663364397094141,-0.0142580998583002,0.0182301980344249,0.117879643194044,0.00946930866020333,0.190399490877998,0.0301697444862745
"OA","HTC","Hypertrophic chondrocytes",6,206.333333333333,0.431248876616697,0.39864784069584,0.188272870726815,0.0562040930607359,-0.00723846312524962,0.0146039019489333,0.166189696953381,0.0112572042388193,0.149296846423729,0.044638476759647
"OA","Vascular/immune","Vascular/immune cells",1,142,0,0,0.0760699233015393,NA,0.0101842797742181,NA,0.247277535224115,NA,-0.0187961207824272,NA
